Start,End,Open,High,Low,Close,Volume,Market Cap
2025-09-02,2025-09-03,109087,111657,108518,111185,64643217301.243904,2198239163003.4143
2025-09-01,2025-09-02,108130,109823,107304,109159,49781146240.70731,2162275319883.171
2025-08-31,2025-09-01,108814,109443,108160,108232,34326586650.344948,2166938299319.481
2025-08-30,2025-08-31,108275,108926,107374,108770,62598347835.33798,2160647874764.4492
2025-08-29,2025-08-30,112477,112632,107648,108466,60942929256.74564,2186539021600.4736
2025-08-28,2025-08-29,111386,113323,110892,112528,55879687801.80488,2240292797354.303
2025-08-27,2025-08-28,111661,112600,110445,111194,57760334045.51219,2219859950693.258
2025-08-26,2025-08-27,109904,112300,109118,111848,82253038881.75958,2196097675279.2607
2025-08-25,2025-08-26,113422,113630,109478,110167,78219572885.77003,2226761939418.1846
2025-08-24,2025-08-25,115378,115667,112155,113400,40101590469.04181,2280077922558.091
2025-08-23,2025-08-24,116893,116992,114622,115419,64119945904.560974,2299783087940.711
2025-08-22,2025-08-23,112545,117421,111685,116840,58944973722.217545,2278005812279.151
2025-08-21,2025-08-22,114180,114736,112040,112430,58494314036.334496,2255358787497.5576
2025-08-20,2025-08-21,113179,114604,112516,114244,68673246060.91259,2263830499315.5454
2025-08-19,2025-08-20,116281,116706,112785,112785,62336076600.623695,2281711095902.878
2025-08-18,2025-08-19,117375,117524,114659,116250,58656111973.60976,2305934426165.1465
2025-08-17,2025-08-18,117360,118499,117220,117410,31657217499.99652,2347273399184.4043
2025-08-16,2025-08-17,117342,117870,117256,117442,49982015736.33798,2341057088890.728
2025-08-15,2025-08-16,118311,119207,116840,117229,89283949504.8467,2352527030501.878
2025-08-14,2025-08-15,123499,124171,117507,118426,103657444460.92683,2396436369860.338
2025-08-13,2025-08-14,120192,123566,118972,123374,74904527307.52962,2404539707941.251
2025-08-12,2025-08-13,118700,120324,118242,120212,76839912945.14285,2372880644112.582
2025-08-11,2025-08-12,119208,122333,118293,118775,82859850839.61324,2396085635345.986
2025-08-10,2025-08-11,116519,119288,116519,119258,55179194769.25087,2353175802994.408
2025-08-09,2025-08-10,116675,117789,116365,116497,46560116836.7108,2324447658903.861
2025-08-08,2025-08-09,117420,117566,115920,116684,62011977763.56795,2322334990943.718
2025-08-07,2025-08-08,114948,117585,114291,117462,53699274661.10104,2306295000578.6514
2025-08-06,2025-08-07,114109,115692,113388,114988,52264656443.8885,2277304462543.0625
2025-08-05,2025-08-06,115004,115093,112727,114179,51412055506.14286,2270761266763.6724
2025-08-04,2025-08-05,114228,115676,114136,115122,40089656823.243904,2283525050817.512
2025-08-03,2025-08-04,112627,114665,112260,114176,47603095414.045296,2264851578017.958
2025-08-02,2025-08-03,113209,114050,112061,112586,69525513791.4807,2255539992964.8423
2025-08-01,2025-08-02,115740,116037,112801,113362,82642984634.72823,2285836496651.986
2025-07-31,2025-08-01,117823,118867,115606,115606,64625461660.48084,2347672529338.62
2025-07-30,2025-07-31,117796,118699,116027,117800,57484233515.954704,2343903070488.313
2025-07-29,2025-07-30,118100,119095,117084,117877,60250392117.24042,2351843685505.4355
2025-07-28,2025-07-29,119370,119759,117435,117883,53716601983.54704,2360847991059.007
2025-07-27,2025-07-28,117944,119767,117842,119429,34950465639.20906,2357911892209.711
2025-07-26,2025-07-27,117457,118277,117154,117893,66594964660.16028,2343589762343.948
2025-07-25,2025-07-26,118239,118239,114788,117542,112519830769.38329,2313774071035.1675
2025-07-24,2025-07-25,118626,119444,117260,118298,72265075414.49826,2359650316636.502
2025-07-23,2025-07-24,119890,120013,117383,118518,68927489452.21951,2356565651752.6343
2025-07-22,2025-07-23,117320,120248,116555,119845,77956351622.8885,2357943614694.54
2025-07-21,2025-07-22,117209,119599,116670,117465,65026065927.637634,2349423410099.6934
2025-07-20,2025-07-21,117820,118853,116864,117182,38463475389.80488,2348564099171.679
2025-07-19,2025-07-20,117930,118550,117344,117840,57742920550.12195,2348803614415.164
2025-07-18,2025-07-19,119341,120639,116818,117870,81391628743.32753,2363561374262.711
2025-07-17,2025-07-18,118667,120928,117524,119322,72594836078.36586,2361984796993.2544
2025-07-16,2025-07-17,117580,120010,117138,118628,85618771959.92334,2359354400078.5435
2025-07-15,2025-07-16,119772,119878,116005,117685,104675281256.22649,2333916328901.676
2025-07-14,2025-07-15,119005,122946,118931,119847,80796374445.54355,2402616650832.9897
2025-07-13,2025-07-14,117377,119301,117256,119164,36992834188.6446,2351952258874.1533
2025-07-12,2025-07-13,117545,118195,116975,117400,62677326456.637634,2339104288816.812
2025-07-11,2025-07-12,116020,118731,115314,117524,111466555223.59584,2335781656238.906
2025-07-10,2025-07-11,111299,116548,110621,115977,70222738449.85017,2229994751422.3486
2025-07-09,2025-07-10,108865,111889,108352,111260,42856381981.12195,2175240442828.5369
2025-07-08,2025-07-09,108253,109148,107567,108947,45354380852.48432,2157955566185.2683
2025-07-07,2025-07-08,109173,109597,107540,108300,39629555388.86316,2159834754513.8245
2025-07-06,2025-07-07,108196,109500,107850,109240,21495965111.738674,2156392311225.7805
2025-07-05,2025-07-06,107993,108336,107814,108236,34138958768.71777,2149730833985.784
2025-07-04,2025-07-05,109618,109737,107274,108023,45491863018.5993,2158317661288.6797
2025-07-03,2025-07-04,108974,110443,108561,109580,59640164758.39721,2176269493513.9236
2025-07-02,2025-07-03,105700,109682,105392,108847,49331382941.99304,2142436263341.9023
2025-07-01,2025-07-02,107123,107492,105352,105594,40767271764.72474,2117410189982.216
2025-06-30,2025-07-01,108283,108760,106766,107071,35853591942.58188,2142867911801.7207
2025-06-29,2025-06-30,107285,108440,107190,108389,20404786412.686413,2140729376428.4844
2025-06-28,2025-06-29,106967,107490,106811,107304,30974932919.96864,2133014283523.9543
2025-06-27,2025-06-28,106991,107622,106429,107054,40888587027.93728,2128720298740.213
2025-06-26,2025-06-27,107380,108245,106772,106943,46556468340.82578,2136491182892.5437
2025-06-25,2025-06-26,106040,108061,105860,107251,47844755720.28223,2126669743522.1396
2025-06-24,2025-06-25,105387,106217,104698,106000,73785073586.37979,2095290197819.2893
2025-06-23,2025-06-24,100724,105970,99996.04,105509,70590435541.90244,2029261305291.2195
2025-06-22,2025-06-23,102538,103160,98422.57,100827,55296120690.64111,2013850602562.056
2025-06-21,2025-06-22,103252,103994,101150,101572,43364642681.6446,2052534193668.864
2025-06-20,2025-06-21,104583,106437,102463,103284,38074191348.03484,2079106647501.1045
2025-06-19,2025-06-20,104849,105194,103960,104670,43098086127.78397,2080443516699.9165
2025-06-18,2025-06-19,104583,105535,103674,104708,55599543167.48432,2081873736500.3484
2025-06-17,2025-06-18,106593,107653,103554,104637,58097218434.083626,2101705926815.331
2025-06-16,2025-06-17,105600,108784,105103,106936,39261478515.19164,2128645118801.3936
2025-06-15,2025-06-16,105364,106065,104546,105498,28514944725.26133,2094271277770.035
2025-06-14,2025-06-15,106020,106020,104384,105430,45347336959.50174,2089083258292.6829
2025-06-13,2025-06-14,104938,106074,102951,106005,75605593353.43903,2083101019212.5437
2025-06-12,2025-06-13,108590,108756,105765,105868,50839129285.23345,2136142471012.1848
2025-06-11,2025-06-12,110237,110329,108160,108682,50648708670.1324,2174061588020.0244
2025-06-10,2025-06-11,110185,110308,108460,110229,61595592778.89547,2175212283538.3867
2025-06-09,2025-06-10,105725,110347,105345,110193,41728015432.76307,2130933122113.31
2025-06-08,2025-06-09,105512,106431,105001,105661,29825149295.65853,2101778399467.892
